model,num_params,iter,tokens,train_loss,val_loss
attention,3993,1500,384000,2.55336856842041,2.5728610873222353
attention,3993,1750,448000,2.5479836535453795,2.556062364578247
attention,3993,2000,512000,2.5420743227005005,2.529381036758423
attention,3993,2250,576000,2.5175044631958006,2.523647861480713
attention,3993,2500,640000,2.475894112586975,2.499565558433533
attention,3993,2750,704000,2.4566250014305115,2.49957129240036
attention,3993,3000,768000,2.4375222063064577,2.485491135120392
attention,3993,3250,832000,2.4333274149894715,2.4686364269256593
attention,3993,3500,896000,2.423448295593262,2.4463003206253053
attention,3993,3750,960000,2.4243880891799927,2.44794248342514
attention,3993,4000,1024000,2.3994750428199767,2.427977225780487
attention,3993,4250,1088000,2.390868718624115,2.4251088976860045
attention,3993,4500,1152000,2.3960360884666443,2.4063197207450866
attention,3993,4750,1216000,2.372545454502106,2.4057811307907104
attention,3993,5000,1280000,2.3767418313026427,2.4000198316574095
