iter,tokens,train_loss,val_loss
0,0,4.235860896110535,4.233930158615112
250,64000,3.0420013546943663,3.0396066164970397
500,128000,2.819262583255768,2.833058695793152
750,192000,2.673741443157196,2.6724038434028627
1000,256000,2.5779724597930906,2.6033098673820496
1250,320000,2.498186717033386,2.5204233813285826
1500,384000,2.438749907016754,2.4553344154357912
1750,448000,2.419741382598877,2.4317891454696654
2000,512000,2.4068997859954835,2.4037480783462524
2250,576000,2.385085337162018,2.395541880130768
2500,640000,2.3510609340667723,2.381173298358917
2750,704000,2.3296269273757932,2.3755008578300476
3000,768000,2.314291458129883,2.3623919010162355
3250,832000,2.3164304232597352,2.3671877503395082
3500,896000,2.3034147596359253,2.332102887630463
3750,960000,2.310592384338379,2.3438571071624756
4000,1024000,2.2968990349769594,2.3264477682113647
4250,1088000,2.2967878770828247,2.324004800319672
4500,1152000,2.294801871776581,2.31349262714386
4750,1216000,2.2774340319633484,2.3076206994056703
5000,1280000,2.2742040157318115,2.308483536243439
